MovieName,ReleaseYear,ImdbRating,Metascore,Votes
American Psycho,(2000),7.6,64.0,439022
Gladiator,(2000),8.5,67.0,1232190
Requiem for a Dream,(2000),8.3,68.0,710215
The Patriot,(2000),7.2,63.0,240111
Snatch,(2000),8.3,,728467
Remember the Titans,(2000),7.8,,186186
X-Men,(2000),7.4,64.0,543081
Memento,(2000),8.4,80.0,1044026
Cast Away,(2000),7.8,73.0,479842
Unbreakable,(2000),7.3,62.0,359770
Almost Famous,(2000),7.9,90.0,237262
Scary Movie,(2000),6.2,,217333
Charlie's Angels,(2000),5.5,,165182
The Cell,(2000),6.3,,90675
Malèna,(2000),7.5,,81471
Hollow Man,(2000),5.8,,116004
Road Trip,(2000),6.4,,149787
Final Destination,(2000),6.7,,214079
Coyote Ugly,(2000),5.7,,101826
Battlefield Earth,(2000),2.5,,73287
Mission: Impossible II,(2000),6.1,,294700
Billy Elliot,(2000),7.7,74.0,117033
What Women Want,(2000),6.4,,182217
"O Brother, Where Art Thou?",(2000),7.7,69.0,267521
Bring It On,(2000),6.0,,82027
Erin Brockovich,(2000),7.3,73.0,161058
Shaft,(2000),5.9,,69505
The Beach,(I) (2000),6.7,,210775
Traffic,(2000),7.6,86.0,187480
Tra(sgre)dire,(2000),5.5,,4400
"Me, Myself & Irene",(2000),6.6,,211661
Space Cowboys,(2000),6.4,73.0,69528
Mission to Mars,(2000),5.7,,67499
Scream 3,(2000),5.5,,115711
Gone in Sixty Seconds,(2000),6.5,,248260
Faa yeung nin wa,(2000),8.1,85.0,108116
The Emperor's New Groove,(2000),7.3,70.0,164432
The Perfect Storm,(2000),6.4,,148411
Wo hu cang long,(2000),7.8,93.0,242008
The Whole Nine Yards,(2000),6.7,,103967
Thirteen Days,(2000),7.3,67.0,51218
How the Grinch Stole Christmas,(2000),6.1,,185300
The Replacements,(2000),6.6,,55060
Pitch Black,(2000),7.1,,215730
Chocolat,(2000),7.2,64.0,169671
Batoru rowaiaru,(2000),7.6,81.0,160646
Sexy Beast,(2000),7.3,79.0,50758
Where the Heart Is,(2000),6.8,,30478
The Gift,(2000),6.6,62.0,59511
The 6th Day,(2000),5.9,,111551
Harry Potter and the Sorcerer's Stone,(2001),7.6,64.0,579329
The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,92.0,1533685
Pearl Harbor,(2001),6.2,,295790
A Knight's Tale,(2001),6.9,,159401
The Fast and the Furious,(2001),6.8,,325481
Ocean's Eleven,(2001),7.8,74.0,479833
Sen to Chihiro no kamikakushi,(2001),8.6,96.0,569720
Donnie Darko,(2001),8.0,71.0,705057
Black Hawk Down,(2001),7.7,74.0,343667
Rat Race,(2001),6.4,,103666
Mulholland Dr.,(2001),7.9,83.0,294774
A Beautiful Mind,(2001),8.2,72.0,782207
Blow,(2001),7.6,,226268
Training Day,(2001),7.7,69.0,361342
"Monsters, Inc.",(2001),8.0,78.0,752501
Legally Blonde,(2001),6.2,,168632
Amélie,(2001),8.3,69.0,660305
Moulin Rouge!,(2001),7.6,66.0,254068
Not Another Teen Movie,(2001),5.7,,91816
Planet of the Apes,(2001),5.7,,202959
Shrek,(2001),7.8,84.0,571188
The Others,(2001),7.6,74.0,317162
Hannibal,(2001),6.8,,239436
Thir13en Ghosts,(2001),5.6,,74818
Artificial Intelligence: AI,(2001),7.2,65.0,277040
Gosford Park,(2001),7.2,90.0,74603
The Glass House,(2001),5.8,,29956
Jeepers Creepers,(2001),6.2,,103969
Wet Hot American Summer,(2001),6.6,,50777
Bridget Jones's Diary,(2001),6.7,66.0,209505
Y tu mamá también,(2001),7.6,88.0,108355
Lucía y el sexo,(2001),7.1,65.0,33408
Vanilla Sky,(2001),6.9,,236356
Original Sin,(2001),6.1,,51050
Zoolander,(2001),6.6,61.0,233748
The Royal Tenenbaums,(2001),7.6,76.0,248529
Spy Kids,(2001),5.4,71.0,101110
The Princess Diaries,(2001),6.3,,118105
Jurassic Park III,(2001),5.9,,278304
Jason X,(2001),4.4,,47165
Monster's Ball,(2001),7.0,69.0,79218
Scary Movie 2,(2001),5.3,,140219
The Last Castle,(2001),7.0,,66358
Super Troopers,(2001),7.1,,91903
American Pie 2,(2001),6.4,,227644
Swordfish,(2001),6.5,,170143
Lara Croft: Tomb Raider,(2001),5.8,,187626
The Mummy Returns,(2001),6.3,,286802
La pianiste,(2001),7.5,79.0,50341
Along Came a Spider,(2001),6.4,,69694
The Lord of the Rings: The Two Towers,(2002),8.7,87.0,1373067
Spider-Man,(2002),7.3,73.0,649092
The Pianist,(2002),8.5,85.0,656703
Gangs of New York,(2002),7.5,72.0,376753
Catch Me If You Can,(2002),8.1,75.0,735205
Road to Perdition,(2002),7.7,72.0,230410
Cidade de Deus,(2002),8.6,79.0,653646
Harry Potter and the Chamber of Secrets,(2002),7.4,63.0,501429
Irréversible,(2002),7.4,,108948
Scooby-Doo,(2002),5.0,,89396
28 Days Later...,(2002),7.6,73.0,349492
Star Wars: Episode II - Attack of the Clones,(2002),6.6,,583313
Panic Room,(2002),6.8,65.0,240501
Minority Report,(2002),7.6,80.0,475359
Secretary,(2002),7.0,63.0,77937
Signs,(2002),6.7,,320081
8 Mile,(2002),7.1,77.0,231661
The Ring,(2002),7.1,,301441
Men in Black II,(2002),6.2,,320038
Chicago,(2002),7.1,82.0,203210
Die Another Day,(2002),6.1,,193710
Resident Evil,(2002),6.7,,234155
Equilibrium,(2002),7.4,,298537
The Count of Monte Cristo,(2002),7.7,61.0,121639
Punch-Drunk Love,(2002),7.3,78.0,134795
Ghost Ship,(2002),5.5,,88502
Unfaithful,(2002),6.7,63.0,74517
Ken Park,(2002),5.9,,27741
The Bourne Identity,(2002),7.9,68.0,479909
Insomnia,(2002),7.2,78.0,256390
A Walk to Remember,(2002),7.4,,190010
Red Dragon,(2002),7.2,,234188
About a Boy,(2002),7.0,75.0,163311
Blue Crush,(2002),5.6,61.0,28761
The Hours,(2002),7.5,80.0,117873
Mr. Deeds,(2002),5.8,,128589
Confessions of a Dangerous Mind,(2002),7.0,67.0,79676
Cabin Fever,(2002),5.6,,70626
Blade II,(2002),6.7,,189071
Adaptation.,(2002),7.7,83.0,166625
Lilo & Stitch,(2002),7.2,73.0,153402
The Time Machine,(2002),6.0,,113820
Sweet Home Alabama,(2002),6.2,,96574
We Were Soldiers,(2002),7.1,65.0,122523
Ice Age,(2002),7.5,,409090
Treasure Planet,(2002),7.2,,92309
Frida,(2002),7.4,61.0,75456
My Big Fat Greek Wedding,(2002),6.5,62.0,114553
Star Trek: Nemesis,(2002),6.4,,68861
The Sum of All Fears,(2002),6.4,,97784
The Lord of the Rings: The Return of the King,(2003),8.9,94.0,1518032
Kill Bill: Vol. 1,(2003),8.1,69.0,923154
Mystic River,(2003),7.9,84.0,392876
Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.0,63.0,973157
The Matrix Reloaded,(2003),7.2,62.0,485131
Love Actually,(2003),7.6,,389340
House of 1000 Corpses,(2003),6.1,,70281
Oldeuboi,(2003),8.4,77.0,466872
Finding Nemo,(2003),8.1,90.0,881454
Bad Boys II,(2003),6.6,,209002
The Room,(2003),3.7,,73941
The Dreamers,(2003),7.2,62.0,102241
Secondhand Lions,(2003),7.5,,49000
The Matrix Revolutions,(2003),6.7,,421183
Big Fish,(2003),8.0,,393331
Terminator 3: Rise of the Machines,(2003),6.3,66.0,354261
Lost in Translation,(2003),7.7,89.0,378676
Peter Pan,(2003),6.8,64.0,62305
Freddy vs. Jason,(2003),5.7,,104611
Salinui chueok,(2003),8.1,82.0,104704
The School of Rock,(2003),7.1,82.0,248460
How to Lose a Guy in 10 Days,(2003),6.4,,193841
The Last Samurai,(2003),7.7,,374372
Old School,(2003),7.1,,205387
Master and Commander: The Far Side of the World,(2003),7.4,81.0,191116
X2,(2003),7.4,68.0,487206
2 Fast 2 Furious,(2003),5.9,,235358
Identity,(2003),7.3,64.0,211982
Wrong Turn,(I) (2003),6.1,,102344
Underworld,(2003),7.0,,241631
The Texas Chainsaw Massacre,(2003),6.2,,124176
Monster,(2003),7.3,74.0,126178
Thirteen,(2003),6.8,70.0,76429
The Italian Job,(2003),7.0,68.0,325443
Cold Mountain,(2003),7.2,73.0,133246
Hulk,(2003),5.6,,241765
Freaky Friday,(2003),6.1,70.0,116683
Holes,(2003),7.0,71.0,71139
Charlie's Angels: Full Throttle,(2003),4.9,,114020
